endpoint_id,llm_alias,mode,usable,elapsed_seconds,answer_preview,error_type,error_message
direct_o4_mini,o4-mini,direct,False,94.152,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=1024a76bc41d4b7dba20a2daeb737c24, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=2c76dbcff1a944e0a04e0ecbb2b785e7, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_4o_mini,gpt-4o-mini,direct,True,11.582,OK,,
direct_gpt_4,gpt-4,direct,False,94.36,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=637da4ba115b4c1485d49e7ae3bdc56a, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=2ae9f79b14f74f18b1448c6fd94bd8f8, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_4_1_nano,gpt-4.1-nano,direct,True,5.273,OK,,
direct_gpt_4_1,gpt-4.1,direct,True,4.879,OK,,
direct_o1_2024_12_17,o1-2024-12-17,direct,False,93.554,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=2a11097953bf4664a027d9076b1508ab, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=26c313a884484392b40daa8e3a9e5403, type=user_message, status={}, content_keys=[], text_preview=''"
direct_o3,o3,direct,False,93.587,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=98689b5513da4d95a4018e183cba7920, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=973d736b4c394755a0ad4a933b219166, type=user_message, status={}, content_keys=[], text_preview=''"
direct_claude_opus_4_0,claude-opus-4-0,direct,True,8.759,OK,,
direct_gpt_4_1_mini,gpt-4.1-mini,direct,True,5.043,OK,,
direct_gemini_2_5_flash,gemini-2.5-flash,direct,True,11.155,OK,,
